,,,,,,Terminal 3,,,,,,,,,,,,,,,
time ,flight no ,Air line,aircraft type,capacity,,Time Slots,Number of Arrivals,,,,,,,WRONG,,,,,,,
,IX1028,,	Boeing 737 MAX 8,189,,,,,,,,,,,,,,,,,
,IX1184,,	Boeing 737 MAX 8,189,,,,,,,,,,,,,,,,,
,AI445,,	Airbus A320 ,180,,,,,,,,,,,,,,,,,
,AI821,,Airbus A321,182,,,,,,,,,,,,,,,,,
,IX1116,,	Airbus A320 ,180,,,,,,,,,,,,,,,,,
,6E5067,,Airbus A321neo,222,,,,,,,,,,,,,,,,,
,AI2633,,Airbus A320,180,,,,,,,,,,,,,,,,,
,AI2567,,	Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2678,,	Airbus A320neo (twin-jet,186 ,,,,,,,,,,,,,,,,,
,6E5074,,	Airbus A321neo,222,,,,,,,,,,,,,,,,,
,AI2801,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2963,,	Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,6E5164,,Airbus A321neo,222,,,,,,,,,,,,,,,,,
,IX1135,,Boeing 737 MAX 8 ,189,,,,,,,,,,,,,,,,,
,IX1186,,Boeing 737 MAX 8,189,,,,,,,,,,,,,,,,,
,6E5053,,Airbus A321neo,222,,,,,,,,,,,,,,,,,
,AI813,,	Airbus A320,180,,,,,,,,,,,,,,,,,
,AI2467,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2529,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,6E5044,,Airbus A321,222,,,,,,,,,,,,,,,,,
,AI2415,,Airbus A320neo ,186 ,,,,,,,,,,,,,,,,,
,AI2764,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2542,,Airbus A320neo ,186 ,,,,,,,,,,,,,,,,,
,AI2452,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI423,,Boeing 787-8,256,,,,,,,,,,,,,,,,,
,IX1182,,Boeing 737 MAX 8 ,189,,,,,,,,,,,,,,,,,
,IX1067,,Boeing 737 MAX 8,189,,,,,,,,,,,,,,,,,
,AI2571,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,IX1127,,	Boeing 737 MAX 8,189,,,,,,,,,,,,,,,,,
,AI2995,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2859,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI825,,	Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,6E5118,,	Airbus A320neo,186,,,,,,,,,,,,,,,,,
,AI2573,,	Airbus A320,180,,,,,,,,,,,,,,,,,
,IX2564,,	Boeing 737 MAX 8 ,189,,,,,,,,,,,,,,,,,
,AI2485,,Airbus A320,180,,,,,,,,,,,,,,,,,
,AI2627,,	Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2425,,	Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,6E5076,,	Airbus A320neo,186,,,,,,,,,,,,,,,,,
,AI2523,,Airbus A320neo ,186 ,,,,,,,,,,,,,,,,,
,AI491,,Airbus A320,180,,,,,,,,,,,,,,,,,
,IX1198,,Airbus A320neo,186,,,,,,,,,,,,,,,,,
,AI857,,Airbus A319,182,,,,,,,,,,,,,,,,,
,6E5387,,	Airbus A320neo,186,,,,,,,,,,,,,,,,,
,AI459,,	Airbus A320 ,180,,,,,,,,,,,,,,,,,
,AI2458,,Airbus A320,180,,,,,,,,,,,,,,,,,
,AI2532,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,6E5154,,Airbus A321,222,,,,,,,,,,,,,,,,,
,IX1102,,Airbus A320neo,186,,,,,,,,,,,,,,,,,
,AI2945,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
12.00-18.00,6E5927,,Airbus A320neo,186,,,,,,,,,,,,,,,,,
,IX2511,,Airbus A320,180,,,,,,,,,,,,,,,,,
,AI2417,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2907,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,6E5308,,Airbus A320,180,,,,,,,,,,,,,,,,,
,6E5064,,Airbus A320,180,,,,,,,,,,,,,,,,,
,9I637,,ATR ATR-72,70,,,,,,,,,,,,,,,,,
,AI535,,Airbus A320,180,,,,,,,,,,,,,,,,,
,AI2899,,	Airbus A320neo ,186 ,,,,,,,,,,,,,,,,,
,AI2993,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,6E5298,,Airbus A321neo,222,,,,,,,,,,,,,,,,,
,AI2483,,	Airbus A320neo ,186 ,,,,,,,,,,,,,,,,,
,AI2767,,Airbus A321,182,,,,,,,,,,,,,,,,,
,IX1142,,Boeing 737 MAX 8,189,,,,,,,,,,,,,,,,,
,6E5257,,	Airbus A321neo ,222,,,,,,,,,,,,,,,,,
,6E5396,,Airbus A321neo,222,,,,,,,,,,,,,,,,,
