,12:00,13:00,14:00,15:00,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,10:00,11:00
A - F,14 19,10 15,13 18,13 18,11 15,13 18,18 23,16 21,20 25,21 26,17 22,20 25,21 26,23 28,21 26,24 29,28 33,33 38,34 39,35 40,26 31,19 24,17 22,19 24,13 18,9 14,12 17,10 15,15 20,20 25,28 33,28 33,32 37,28 33,19 24,17 22,22 27,32 37,25 30,30 35,33 38,26 31,18 23,17 22,17 22,13 18,26 31,29 34
G - M,13 18,15 20,16 21,19 24,10 15,11 16,7 12,10 15,13 18,14 19,12 17,19 24,15 20,20 25,18 23,20 25,17 22,21 26,26 31,22 27,18 23,19 24,9 14,20 25,14 19,36 41,45 50,31 36,25 30,22 27,17 22,20 25,21 26,20 25,16 21,19 24,20 25,21 26,24 29,15 20,19 24,24 29,29 34,24 29,22 27,20 25,11 16,7 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16.5,12.5,15.5,15.5,13,15.5,20.5,18.5,22.5,23.5,19.5,22.5,23.5,25.5,23.5,26.5,30.5,35.5,36.5,37.5,28.5,21.5,19.5,21.5,15.5,11.5,14.5,12.5,17.5,22.5,30.5,30.5,34.5,30.5,21.5,19.5,24.5,34.5,27.5,32.5,35.5,28.5,20.5,19.5,19.5,15.5,28.5,31.5
,15.5,17.5,18.5,21.5,12.5,13.5,9.5,12.5,15.5,16.5,14.5,21.5,17.5,22.5,20.5,22.5,19.5,23.5,28.5,24.5,20.5,21.5,11.5,22.5,16.5,38.5,47.5,33.5,27.5,24.5,19.5,22.5,23.5,22.5,18.5,21.5,22.5,23.5,26.5,17.5,21.5,26.5,31.5,26.5,24.5,22.5,13.5,9.5
TOTAL AVG,16,15,17,18.5,12.75,14.5,15,15.5,19,20,17,22,20.5,24,22,24.5,25,29.5,32.5,31,24.5,21.5,15.5,22,16,25,31,23,22.5,23.5,25,26.5,29,26.5,20,20.5,23.5,29,27,25,28.5,27.5,26,23,22,19,21,20.5
,16,15,17,18.5,12.75,14.5,15,15.5,19,20,17,22,20.5,24,22,24.5,25,29.5,32.5,31,24.5,21.5,15.5,22,16,25,31,23,22.5,23.5,25,26.5,29,26.5,20,20.5,23.5,29,27,25,28.5,27.5,26,23,22,19,21,20.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A - F,16.5,12.5,15.5,15.5,13,15.5,20.5,18.5,22.5,23.5,19.5,22.5,23.5,25.5,23.5,26.5,30.5,35.5,36.5,37.5,28.5,21.5,19.5,21.5,15.5,11.5,14.5,12.5,17.5,22.5,30.5,30.5,34.5,30.5,21.5,19.5,24.5,34.5,27.5,32.5,35.5,28.5,20.5,19.5,19.5,15.5,28.5,31.5
G - M,15.5,17.5,18.5,21.5,12.5,13.5,9.5,12.5,15.5,16.5,14.5,21.5,17.5,22.5,20.5,22.5,19.5,23.5,28.5,24.5,20.5,21.5,11.5,22.5,16.5,38.5,47.5,33.5,27.5,24.5,19.5,22.5,23.5,22.5,18.5,21.5,22.5,23.5,26.5,17.5,21.5,26.5,31.5,26.5,24.5,22.5,13.5,9.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMBDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0:00 - 6:00,22.46245,0,A1= LAMBDA,,0.05008135716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:00 - 12:00 ,27.24296,ABOVE IS FORMULA,,,0.03954067965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00- 18:00,22.63885,,,,0.04744573513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00 - 24:00,23.82235,,,,0.04633098018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LAMBDA/C,LAMBDA,,,A-F,MU,SERVICE TIME,,G-M,MU,SERVICE TIME,,,TOTAL AVG,MU,SERVICE TIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00,,12:00,0.3512785,21.07671,26.72492866,,16.5,0.4039783667,2.475380076,,15.5,0.4069664537,2.457204988,,,16,0.4054305736,2.466513542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00,,13:00,0.3512785,21.07671,17.96444563,,12.5,0.4184383977,2.389838039,,17.5,0.4012987353,2.491909174,,,15,0.4085935648,2.447419847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00,,14:00,0.3512785,21.07671,8.021691789,,15.5,0.4069664537,2.457204988,,18.5,0.398881659,2.507009228,,,17,0.4026030958,2.483835843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00,,15:00,0.3512785,21.07671,34.41057083,,15.5,0.4069664537,2.457204988,,21.5,0.3928665066,2.545393876,,,18.5,0.398881659,2.507009228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00,,16:00,0.3512785,21.07671,14.24035767,,13,0.4162022755,2.402677878,,12.5,0.4184383977,2.389838039,,,12.75,0.4173009992,2.396351798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:15,,16:15,0.3512785,21.07671,11.10209992,,15.5,0.4069664537,2.457204988,,13.5,0.4141130971,2.414799259,,,14.5,0.4103204158,2.437119776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:30,,16:30,0.3512785,21.07671,26.42447582,,20.5,0.3946933135,2.533612721,,9.5,0.436073177,2.293193098,,,15,0.4085935648,2.447419847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
