,,,,,,Terminal 2,,,,,,,,,,
time ,flight no ,Air line,aircraft type,capacity,,Time Slots,Number of Arrivals,Arrival Rate,,,,,,,,
,6E2248,,Airbus A320neo,186,,,,,,,,,,,,
,6E2172,,	Airbus A320neo,186,,,,,,,,,,,,
,QP1608,,Boeing 737 MAX 8,197,,,,,,,,,,,,
,6E2614,,Airbus A320neo,186,,,,,,,,,,,,
,6E2135,,	Airbus A320neo,186,,,,,,,,,,,,
,6E2098,,Airbus A320neo,186,,,,,,,,,,,,
,6E2557,,Airbus A320neo,186,,,,,,,,,,,,
,6E2196,,Airbus A321neo,222,,,,,,,,,,,,
,QP1128,,	Boeing 737 MAX 8,197,,,,,,,,,,,,
,6E2738,,	Airbus A321,222,,,,,,,,,,,,
,6E2023,,Airbus A320neo,186,,,,,,,,,,,,
,6E2141,,Airbus A321 ,222,,,,,,,,,,,,
,6E2092,,Airbus A320neo,186,,,,,,,,,,,,
,6E2291,,Airbus A320neo,186,,,,,,,,,,,,
,6E2028,,	Airbus A321neo,222,,,,,,,,,,,,
,6E2319,,Airbus A321neo,222,,,,,,,,,,,,
,6E2142,,	Airbus A321neo,222,,,,,,,,,,,,
,6E2204,,	Airbus A321neo,222,,,,,,,,,,,,
,QP1882,,Boeing 737 MAX 8,197,,,,,,,,,,,,
,6E2231,,Airbus A320,180,,,,,,,,,,,,
,6E2149,,	Airbus A320neo,186,,,,,,,,,,,,
,6E2361,,Airbus A320neo,186,,,,,,,,,,,,
,6E2372,,	Airbus A320neo,186,,,,,,,,,,,,
,6E2287,,Airbus A321,222,,,,,,,,,,,,
,6E2346,,	Airbus A321neo,222,,,,,,,,,,,,
,6E2258,,Airbus A320neo,186,,,,,,,,,,,,
,6E2695,,Airbus A320neo,186,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
18.00-24.00,6E2327,,	Airbus A321,222,,,,,,,,,,,,
,6E2057,,Airbus A321,222,,,,,,,,,,,,
,6E2150,,	Airbus A321neo,222,,,,,,,,,,,,
,6E2623,,Airbus A321neo,222,,,,,,,,,,,,
,QP1334,,	Boeing 737 MAX 8,197,,,,,,,,,,,,
,6E2348,,Airbus A320neo,186,,,,,,,,,,,,
,6E2151,,Airbus A321neo ,222,,,,,,,,,,,,
,6E2487,,Airbus A321neo,222,,,,,,,,,,,,
,6E2235,,Airbus A321neo,222,,,,,,,,,,,,
,6E2791,,	Airbus A320neo,186,,,,,,,,,,,,
,6E2042,,Airbus A320neo,186,,,,,,,,,,,,
,6E2482,,	Airbus A320,180,,,,,,,,,,,,
,6E2096,,Airbus A321neo,222,,,,,,,,,,,,
,QP1409,,	Boeing 737 MAX 8,197,,,,,,,,,,,,
,6E2169,,Airbus A320 ,180,,,,,,,,,,,,
,6E2201,,Airbus A320neo ,186,,,,,,,,,,,,
,6E2261,,Airbus A320neo,186,,,,,,,,,,,,
,6E2045,,Airbus A320neo,186,,,,,,,,,,,,
,6E2163,,	Airbus A321neo,222,,,,,,,,,,,,
,6E2273,,	Airbus A321neo,222,,,,,,,,,,,,
,6E2156,,Airbus A320neo,186,,,,,,,,,,,,
,6E2108,,Airbus A321neo ,222,,,,,,,,,,,,
,QP1344,,	Boeing 737 MAX 8 ,197,,,,,,,,,,,,
,6E2391,,	Airbus A320neo,186,,,,,,,,,,,,
,6E2153,,Airbus A321neo,222,,,,,,,,,,,,
,6E2674,,Airbus A321neo,222,,,,,,,,,,,,
,6E2601,,Airbus A320neo,186,,,,,,,,,,,,
,6E2136,,Airbus A321,222,,,,,,,,,,,,
,QP1350,,Boeing 737 MAX 8,197,,,,,,,,,,,,
,6E2351,,Airbus A320neo,186,,,,,,,,,,,,
,QP1146,,	Boeing 737 MAX 8,197,,,,,,,,,,,,
,6E2013,,Airbus A321neo,222,,,,,,,,,,,,
,6E2618,,Airbus A320neo ,186,,,,,,,,,,,,
,6E2158,,Airbus A321,222,,,,,,,,,,,,
