time ,flight no ,Air line,aircraft type,business,economy,,,,,,,,,,,,
,AI281,,	Airbus A321,12,170,,,,,,,,,,,,
,KB201,Drukair,Airbus A319,16,102,,,,,,,,,,,,
,6E1103,,	Airbus A321neo,12,208,,,,,,,,,,,,
,AI376,,Airbus A320neo,12,150,,,,,,,,,,,,
,AI384,,	Airbus A320 ,12,138,,,,,,,,,,,,
,AI143,,	Boeing 787-8,18,238,,,,,,,,,,,,
,AI388,,Airbus A320,12,138,,,,,,,,,,,,
,AI2015,,	Boeing 787-9 Dreamliner,30,269,,,,,,,,,,,,
,AI2017,,	Boeing 787-9 Dreamliner,30,269,,,,,,,,,,,,
,6E1155,,Airbus A320neo,0,186,,,,,,,,,,,,
,AI2382,,Airbus A321,12,170,,,,,,,,,,,,
,HY424,Uzbekistan Airways,Boeing 787-8 ,24,246,,,,,,,,,,,,
,AI137,,	Boeing 787-8,18,238,,,,,,,,,,,,
,AI2029,,	Boeing 787-9,30,269,,,,,,,,,,,,
,AI925,,Airbus A320 ,12,138,,,,,,,,,,,,
,AI151,,Boeing 787-8,18,238,,,,,,,,,,,,
,AI2304,,Airbus A320,12,138,,,,,,,,,,,,
,AI429,,	Airbus A320,12,138,,,,,,,,,,,,
,AI2219,,	Airbus A320neo,12,150,,,,,,,,,,,,
,KC908,Air Astana,Airbus A321 ,28,151,,,,,,,,,,,,
,EY215,Etihad Airways,	Airbus A320 ,8,150,,,,,,,,,,,,
,WY246,Oman Air,	Boeing 737-800,12,150,,,,,,,,,,,,
,EK517,Emirates,BOEING 777-300ER,50,304,,,,,,,,,,,,
,RA218,Nepal Airlines,	Airbus A330-200,18,256,,,,,,,,,,,,
,AI991,,	Airbus A320 ,12,138,,,,,,,,,,,,
,6E1345,,Airbus A320neo,0,186,,,,,,,,,,,,
,AI237,,	Airbus A320,12,138,,,,,,,,,,,,
,AI915,,BOEING 777-300ER,39,306,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
18.00-24.00,NH838,ANA All Nippon Airways,Boeing 787-9 Dreamliner,40,206,,,,,,,,,,,,
,AI211,,Airbus A320,12,138,,,,,,,,,,,,
,SV761,Saudia,BOEING 777-300 ,30,383,,,,,,,,,,,,
,G9466,Air Arabia,Airbus A320 ,0,168,,,,,,,,,,,,
,6E1463,,Airbus A321,12,208,,,,,,,,,,,,
,UL196,SriLankan Airlines,	Airbus A320 ,16,120,,,,,,,,,,,,
,SG5,,	Boeing 737 MAX 8 ,0,189,,,,,,,,,,,,
,JL30,JAL,	Boeing 787-9 Dreamliner,44,151,,,,,,,,,,,,
,AI2283,,	Airbus A320,12,138,,,,,,,,,,,,
,6E1807,,	Airbus A320neo,0,186,,,,,,,,,,,,
,IX163,,	Airbus A320,0,180,,,,,,,,,,,,
,AI358,,Boeing 787-8,18,238,,,,,,,,,,,,
,SV759,Saudia,BOEING 777-300,30,383,,,,,,,,,,,,
,6E1231,,	Airbus A320neo,0,186,,,,,,,,,,,,
,AI995,,	Boeing 787-8,18,238,,,,,,,,,,,,
,6E1405,,Airbus A321neo ,12,208,,,,,,,,,,,,
,6E+63,,	Airbus A321neo ,12,208,,,,,,,,,,,,
,EY217,Etihad Airways,	Airbus A350-1000,44,327,,,,,,,,,,,,
,IX127,,	Airbus A320neo,0,186,,,,,,,,,,,,
,AI2231,,	Airbus A320neo,12,150,,,,,,,,,,,,
,GF135,Gulf Air,Airbus A321neo,12,180,,,,,,,,,,,,
,AI2145,,Airbus A321,12,170,,,,,,,,,,,,
,SQ403,Singapore Airlines,Airbus A380-800,84,387,,,,,,,,,,,,
,EK515,Emirates,	BOEING 777-300ER,50,304,,,,,,,,,,,,
,6E+71,,Airbus A320neo,0,186,,,,,,,,,,,,
,OD206,Batik Air Malaysia,Boeing 737-800 ,12,150,,,,,,,,,,,,
,6E+83,,	Airbus A321,12,208,,,,,,,,,,,,
,AI314,,	Airbus A321,12,170,,,,,,,,,,,,
,CX698,Cathay Pacific,	BOEING 777-300ER,40,328,,,,,,,,,,,,
,AC43,Air Canada,BOEING 777-200LR,40,260,,,,,,,,,,,,
,MH191,Malaysia Airlines,Airbus A330-300,27,263,,,,,,,,,,,,
,AI2380,,	Boeing 787-9 Dreamliner ,30,269,,,,,,,,,,,,
,TG316,Thai Airways International,BOEING 777-300ER,42,306,,,,,,,,,,,,
,AA293,American Airlines,	Boeing 787-9 Dreamliner,30,255,,,,,,,,,,,,
,K6761,Air Cambodia,	Airbus A321,16,168,,,,,,,,,,,,
,UA83,United Airlines,	Boeing 787-9 Dreamliner,48,209,,,,,,,,,,,,
,VN976,Vietnam Airlines,Airbus A350-900,29,276,,,,,,,,,,,,
