date,27/9/2025,,,,,Terminal 1,,,,,,,,,,,,,
time ,flight no ,Air line,aircraft type,capacity,,Time Slots,Number of Arrivals,Arrival Rate,,,,,,,,,,,
,6E6271,,	Airbus A320neo,186,,,,,,,,,,,,,,,
,SG2473,,	de Havilland Dash 8-400,78,,,,,,,,,,,,,,,
,6E6515,,	Airbus A321neo,222,,,,,,,,,,,,,,,
,6E382,,Airbus A321neo,222,,,,,,,,,,,,,,,
,6E6479,,Airbus A320neo,186,,,,,,,,,,,,,,,
,6E395,,Airbus A321,222,,,,,,,,,,,,,,,
,6E6048,,Airbus A320,180,,,,,,,,,,,,,,,
,6E389,,	Airbus A321neo ,222,,,,,,,,,,,,,,,
,SG721,,Boeing 737-700,149,,,,,,,,,,,,,,,
,6E477,,	Airbus A321neo ,222,,,,,,,,,,,,,,,
,6E6341,,Airbus A321,222,,,,,,,,,,,,,,,
,6E6114,,	Airbus A321,222,,,,,,,,,,,,,,,
,SG922,,Boeing 737-900,212,,,,,,,,,,,,,,,
,6E6061,,Airbus A321,222,,,,,,,,,,,,,,,
,6E519,,	Airbus A321neo,222,,,,,,,,,,,,,,,
,SG9723,,Boeing 737-700,149,,,,,,,,,,,,,,,
