,12:00,13:00,14:00,15:00,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,10:00,11:00
2A,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
3A,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
4A,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
5A,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
6A,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG OF TOTAL,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.666666667,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.666666667,2.5,2.5,2.5,2.5,2.5,2.5,2.666666667,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1B,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,4.5,3.5,3.5,2.5,2.5,2.5,3.5,3.5,2.5,4.5,2.5,3.5,2.5,2.5,2.5
2B,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,4.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,3.5,3.5,3.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,3.5,2.5,3.5,2.5,2.5
3B,2.5,4.5,2.5,5.5,3.5,2.5,4.5,2.5,4.5,2.5,6.5,3.5,4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4.5,5.5,6.5,4.5,3.5,4.5,6.5,3.5,4.5,6.5,6.5,4.5,4.5,4.5,5.5,3.5,4.5,2.5,2.5
4B,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,5.5,3.5,2.5,2.5,3.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4.5,10.5,2.5,2.5,2.5,3.5,2.5,3.5,3.5,3.5,2.5,4.5,2.5,3.5,3.5,2.5,3.5,2.5
5B,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
6B,3.5,4.5,2.5,3.5,2.5,2.5,4.5,3.5,2.5,2.5,2.5,2.5,3.5,3.5,2.5,2.5,2.5,4.5,3.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG OF TOTAL,2.833333333,3.166666667,2.5,3.166666667,2.833333333,2.5,3.166666667,2.666666667,2.833333333,2.666666667,3.333333333,3.166666667,3.166666667,2.833333333,2.5,2.666666667,2.666666667,3.333333333,2.833333333,2.5,2.666666667,2.5,2.666666667,2.5,2.5,2.5,2.5,2.666666667,2.5,2.833333333,3.666666667,4.666666667,2.833333333,3.166666667,3.166666667,3.666666667,2.833333333,3,3.333333333,3.5,3.166666667,3.166666667,3.166666667,3.333333333,3,3,2.666666667,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C,7.5,8.5,5.5,4.5,8.5,6.5,4.5,4.5,2.5,2.5,2.5,6.5,8.5,3.5,6.5,2.5,6.5,4.5,3.5,3.5,2.5,2.5,2.5,4.5,2.5,2.5,2.5,2.5,2.5,3.5,3.5,6.5,3.5,12.5,6.5,7.5,5.5,5.5,8.5,2.5,8.5,4.5,5.5,8.5,6.5,5.5,6.5,2.5
2C,2.5,3.5,2.5,3.5,5.5,3.5,4.5,2.5,3.5,2.5,2.5,4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5.5,2.5,2.5,3.5,4.5,5.5,6.5,2.5,6.5,6.5,3.5,4.5,7.5,3.5,3.5,9.5,6.5,4.5,2.5,6.5,2.5
3C,3.5,4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4.5,4.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,3.5,5.5,2.5,4.5,2.5,4.5,3.5,3.5,3.5,4.5,3.5,2.5,2.5,3.5,3.5,2.5
4C,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4.5,3.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,4.5,2.5,5.5,2.5,4.5,2.5,2.5,2.5,2.5
5C,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
6C,4.5,2.5,3.5,5.5,3.5,2.5,4.5,3.5,3.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,4.5,2.5,2.5,2.5,3.5,2.5,3.5,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG OF TOTAL,3.833333333,4,3.166666667,3.5,4.166666667,3.333333333,3.5,3,2.833333333,2.833333333,2.833333333,3.666666667,3.833333333,2.666666667,3.166666667,2.5,3.166666667,3,2.666666667,2.666666667,2.5,2.5,2.5,3.333333333,2.5,2.5,2.5,3,2.5,2.666666667,3.5,3.666666667,3.333333333,5.333333333,3.333333333,4.5,3.666666667,3.5,4,3.833333333,4.166666667,3.833333333,4.333333333,4.5,3.666666667,3.166666667,4.166666667,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2D,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
3D,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
4D,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
5D,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
6D,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG OF TOTAL,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMBDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0:00 - 6:00,2.723013,0,A1= LAMBDA,,0.3672402592,,,C=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:00 - 12:00 ,9.572239,ABOVE IS FORMULA,,,0.1044687664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00- 18:00,9.87052,,,,0.101311785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00 - 24:00,7.322306,,,,0.1365689989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LAMBDA/C,LAMBDA,,1,MU,SERVICE TIME,,2,MU,SERVICE TIME,,3,MU,SERVICE TIME,,4,MU,SERVICE TIME,,5,MU,SERVICE TIME,,6,MU,SERVICE TIME,,,TOTAL,MU,SERVICE TIME,,,,,,,,,,,,,,,
12:00,,12:00,0.4112716667,9.87052,,3.75,0.5954544327,1.679389631,,2.5,0.6603827548,1.51427334,,2.75,0.6436306156,1.553686192,,2.75,0.6436306156,1.553686192,,2.5,0.6603827548,1.51427334,,3.25,0.6165266025,1.621990026,,,2.916666667,0.6337637634,1.577875003,,,,,,,,,,,,,,,
13:00,,13:00,0.4112716667,9.87052,,4,0.5865610394,1.704852407,,2.75,0.6436306156,1.553686192,,3.5,0.605376107,1.651865656,,2.5,0.6603827548,1.51427334,,2.5,0.6603827548,1.51427334,,3,0.6291646417,1.589409089,,,3.041666667,0.6269417776,1.595044445,,,,,,,,,,,,,,,
14:00,,14:00,0.4112716667,9.87052,,3.25,0.6165266025,1.621990026,,2.5,0.6603827548,1.51427334,,2.5,0.6603827548,1.51427334,,2.5,0.6603827548,1.51427334,,2.5,0.6603827548,1.51427334,,2.75,0.6436306156,1.553686192,,,2.666666667,0.6489336688,1.540989546,,,,,,,,,,,,,,,
15:00,,15:00,0.4112716667,9.87052,,3,0.6291646417,1.589409089,,2.75,0.6436306156,1.553686192,,3.25,0.6165266025,1.621990026,,2.5,0.6603827548,1.51427334,,2.5,0.6603827548,1.51427334,,3.5,0.605376107,1.651865656,,,2.916666667,0.6337637634,1.577875003,,,,,,,,,,,,,,,
16:00,,16:00,0.4112716667,9.87052,,4.25,0.578537831,1.728495435,,3.25,0.6165266025,1.621990026,,2.75,0.6436306156,1.553686192,,2.5,0.6603827548,1.51427334,,2.5,0.6603827548,1.51427334,,2.75,0.6436306156,1.553686192,,,3,0.6291646417,1.589409089,,,,,,,,,,,,,,,
16:15,,16:15,0.4112716667,9.87052,,3.5,0.605376107,1.651865656,,2.75,0.6436306156,1.553686192,,2.5,0.6603827548,1.51427334,,2.5,0.6603827548,1.51427334,,2.5,0.6603827548,1.51427334,,2.5,0.6603827548,1.51427334,,,2.708333333,0.6462493259,1.547390396,,,,,,,,,,,,,,,
16:30,,16:30,0.4112716667,9.87052,,3,0.6291646417,1.589409089,,3,0.6291646417,1.589409089,,3,0.6291646417,1.589409089,,2.5,0.6603827548,1.51427334,,2.5,0.6603827548,1.51427334,,3.5,0.605376107,1.651865656,,,2.916666667,0.6337637634,1.577875003,,,,,,,,,,,,,,,
16:45,,16:45,0.4112716667,9.87052,,3,0.6291646417,1.589409089,,2.5,0.6603827548,1.51427334,,2.5,0.6603827548,1.51427334,,2.5,0.6603827548,1.51427334,,2.5,0.6603827548,1.51427334,,3,0.6291646417,1.589409089,,,2.666666667,0.6489336688,1.540989546,,,,,,,,,,,,,,,
17:00,,17:00,0.4112716667,9.87052,,2.5,0.6603827548,1.51427334,,2.75,0.6436306156,1.553686192,,3,0.6291646417,1.589409089,,2.5,0.6603827548,1.51427334,,2.5,0.6603827548,1.51427334,,2.75,0.6436306156,1.553686192,,,2.666666667,0.6489336688,1.540989546,,,,,,,,,,,,,,,
17:15,,17:15,0.4112716667,9.87052,,2.5,0.6603827548,1.51427334,,2.75,0.6436306156,1.553686192,,3,0.6291646417,1.589409089,,2.5,0.6603827548,1.51427334,,2.5,0.6603827548,1.51427334,,2.5,0.6603827548,1.51427334,,,2.625,0.6516862975,1.534480629,,,,,,,,,,,,,,,
17:30,,17:30,0.4112716667,9.87052,,2.5,0.6603827548,1.51427334,,2.5,0.6603827548,1.51427334,,4,0.5865610394,1.704852407,,2.75,0.6436306156,1.553686192,,2.5,0.6603827548,1.51427334,,2.75,0.6436306156,1.553686192,,,2.833333333,0.6385801737,1.56597408,,,,,,,,,,,,,,,
17:45,,17:45,0.4112716667,9.87052,,3.5,0.605376107,1.651865656,,3,0.6291646417,1.589409089,,2.75,0.6436306156,1.553686192,,3.25,0.6165266025,1.621990026,,2.5,0.6603827548,1.51427334,,2.75,0.6436306156,1.553686192,,,2.958333333,0.6314380226,1.583686703,,,,,,,,,,,,,,,
18:00,,18:00,0.4112716667,9.87052,,4,0.5865610394,1.704852407,,2.5,0.6603827548,1.51427334,,3.25,0.6165266025,1.621990026,,3,0.6291646417,1.589409089,,2.5,0.6603827548,1.51427334,,2.75,0.6436306156,1.553686192,,,3,0.6291646417,1.589409089,,,,,,,,,,,,,,,
18:15,,18:15,0.3050960833,7.322306,,2.75,0.5189016077,1.927147623,,2.75,0.5189016077,1.927147623,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.75,0.5189016077,1.927147623,,,2.625,0.5260423313,1.900987697,,,,,,,,,,,,,,,
18:30,,18:30,0.3050960833,7.322306,,3.5,0.484875011,2.062387166,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,,2.666666667,0.5236032077,1.909843151,,,,,,,,,,,,,,,
18:45,,18:45,0.3050960833,7.322306,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.75,0.5189016077,1.927147623,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,,2.541666667,0.5311094083,1.882851225,,,,,,,,,,,,,,,
19:00,,19:00,0.3050960833,7.322306,,3.5,0.484875011,2.062387166,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.75,0.5189016077,1.927147623,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,,2.708333333,0.5212237346,1.918561903,,,,,,,,,,,,,,,
19:15,,19:15,0.3050960833,7.322306,,3.25,0.4948149302,2.020957613,,3,0.5060584368,1.976056375,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,3.25,0.4948149302,2.020957613,,,2.833333333,0.5144207757,1.94393393,,,,,,,,,,,,,,,
19:30,,19:30,0.3050960833,7.322306,,2.75,0.5189016077,1.927147623,,2.75,0.5189016077,1.927147623,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.75,0.5189016077,1.927147623,,,2.625,0.5260423313,1.900987697,,,,,,,,,,,,,,,
19:45,,19:45,0.3050960833,7.322306,,2.75,0.5189016077,1.927147623,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,,2.541666667,0.5311094083,1.882851225,,,,,,,,,,,,,,,
20:00,,20:00,0.3050960833,7.322306,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.75,0.5189016077,1.927147623,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,,2.541666667,0.5311094083,1.882851225,,,,,,,,,,,,,,,
21:00,,21:00,0.3050960833,7.322306,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,,2.5,0.5337426617,1.873562059,,,,,,,,,,,,,,,
22:00,,22:00,0.3050960833,7.322306,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.75,0.5189016077,1.927147623,,,2.541666667,0.5311094083,1.882851225,,,,,,,,,,,,,,,
23:00,,23:00,0.3050960833,7.322306,,3,0.5060584368,1.976056375,,2.5,0.5337426617,1.873562059,,2.75,0.5189016077,1.927147623,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,3,0.5060584368,1.976056375,,,2.708333333,0.5212237346,1.918561903,,,,,,,,,,,,,,,
0:00,,0:00,0.3050960833,7.322306,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,2.5,0.5337426617,1.873562059,,,2.5,0.5337426617,1.873562059,,,,,,,,,,,,,,,
1:00,,1:00,0.113458875,2.723013,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,,2.5,0.2771875493,3.607665649,,,,,,,,,,,,,,,
2:00,,2:00,0.113458875,2.723013,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,,2.5,0.2771875493,3.607665649,,,,,,,,,,,,,,,
3:00,,3:00,0.113458875,2.723013,,2.5,0.2771875493,3.607665649,,3.5,0.2455019209,4.073287884,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,,2.666666667,0.2706577133,3.694703497,,,,,,,,,,,,,,,
4:00,,4:00,0.113458875,2.723013,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,,2.5,0.2771875493,3.607665649,,,,,,,,,,,,,,,
5:00,,5:00,0.113458875,2.723013,,2.75,0.2676227798,3.736602695,,2.5,0.2771875493,3.607665649,,3,0.2593074572,3.856425923,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,,2.625,0.2722303833,3.673359262,,,,,,,,,,,,,,,
5:15,,5:15,0.113458875,2.723013,,2.75,0.2676227798,3.736602695,,2.75,0.2676227798,3.736602695,,3.5,0.2455019209,4.073287884,,3.5,0.2455019209,4.073287884,,3,0.2593074572,3.856425923,,2.75,0.2676227798,3.736602695,,,3.041666667,0.2580246859,3.875598168,,,,,,,,,,,,,,,
5:30,,5:30,0.113458875,2.723013,,3.75,0.2396882555,4.172085937,,3,0.2593074572,3.856425923,,3.5,0.2455019209,4.073287884,,4.75,0.221363298,4.517460704,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,,3.333333333,0.2497472905,4.004047443,,,,,,,,,,,,,,,
5:45,,5:45,0.113458875,2.723013,,2.75,0.2676227798,3.736602695,,3.25,0.2519950314,3.968332211,,3.25,0.2519950314,3.968332211,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,,2.791666667,0.2661577406,3.757170457,,,,,,,,,,,,,,,
6:00,,6:00,0.113458875,2.723013,,5.5,0.2111545502,4.735867633,,3.75,0.2396882555,4.172085937,,3.5,0.2455019209,4.073287884,,2.75,0.2676227798,3.736602695,,2.5,0.2771875493,3.607665649,,2.5,0.2771875493,3.607665649,,,3.416666667,0.2475846305,4.039022931,,,,,,,,,,,,,,,
6:15,,6:15,0.3988432917,9.572239,,3.75,0.581687527,1.719136054,,2.75,0.6293087439,1.589045138,,3,0.6150137015,1.625980035,,2.5,0.6458589981,1.548325568,,2.5,0.6458589981,1.548325568,,2.75,0.6293087439,1.589045138,,,2.875,0.6219108105,1.607947608,,,,,,,,,,,,,,,
6:30,,6:30,0.3988432917,9.572239,,4,0.5728916122,1.74553088,,3.75,0.581687527,1.719136054,,4,0.5728916122,1.74553088,,3,0.6150137015,1.625980035,,2.5,0.6458589981,1.548325568,,2.5,0.6458589981,1.548325568,,,3.291666667,0.6005906565,1.665027568,,,,,,,,,,,,,,,
6:45,,6:45,0.3988432917,9.572239,,3.25,0.6025221366,1.659690058,,3.5,0.5914984483,1.69062151,,2.75,0.6293087439,1.589045138,,2.5,0.6458589981,1.548325568,,2.5,0.6458589981,1.548325568,,2.75,0.6293087439,1.589045138,,,2.875,0.6219108105,1.607947608,,,,,,,,,,,,,,,
7:00,,7:00,0.3988432917,9.572239,,3.25,0.6025221366,1.659690058,,2.75,0.6293087439,1.589045138,,3.5,0.5914984483,1.69062151,,2.75,0.6293087439,1.589045138,,2.5,0.6458589981,1.548325568,,2.5,0.6458589981,1.548325568,,,2.875,0.6219108105,1.607947608,,,,,,,,,,,,,,,
7:15,,7:15,0.3988432917,9.572239,,4,0.5728916122,1.74553088,,3,0.6150137015,1.625980035,,3.75,0.581687527,1.719136054,,2.75,0.6293087439,1.589045138,,2.5,0.6458589981,1.548325568,,2.5,0.6458589981,1.548325568,,,3.083333333,0.6106680123,1.637550977,,,,,,,,,,,,,,,
7:30,,7:30,0.3988432917,9.572239,,2.75,0.6293087439,1.589045138,,3.75,0.581687527,1.719136054,,3.75,0.581687527,1.719136054,,3.25,0.6025221366,1.659690058,,2.5,0.6458589981,1.548325568,,2.5,0.6458589981,1.548325568,,,3.083333333,0.6106680123,1.637550977,,,,,,,,,,,,,,,
7:45,,7:45,0.3988432917,9.572239,,4.25,0.5649547814,1.770053167,,3,0.6150137015,1.625980035,,3.25,0.6025221366,1.659690058,,2.5,0.6458589981,1.548325568,,2.5,0.6458589981,1.548325568,,3.25,0.6025221366,1.659690058,,,3.125,0.6085656867,1.643207992,,,,,,,,,,,,,,,
8:00,,8:00,0.3988432917,9.572239,,3,0.6150137015,1.625980035,,2.75,0.6293087439,1.589045138,,3.5,0.5914984483,1.69062151,,3.75,0.581687527,1.719136054,,2.5,0.6458589981,1.548325568,,2.5,0.6458589981,1.548325568,,,3,0.6150137015,1.625980035,,,,,,,,,,,,,,,
