Flight_number,Airline,Dep_time_min,N_passengers,Terminal,,,,,
6E2273,IndiGo,1210    ,128,T2,,,,,
6E2156,IndiGo,1210    ,107,T2,,,,,
6E2108,IndiGo,1225    ,128,T2,,,,,
QP1344,Akasa Air,1240    ,114,T2,,,,,
6E2391,IndiGo,1240    ,107,T2,,,,,
6E2153,IndiGo,1260    ,128,T2,,,,,
6E2674,IndiGo,1280    ,128,T2,,,,,
6E2601,IndiGo,1285    ,107,T2,,,,,
6E2136,IndiGo,1290    ,128,T2,,,,,
QP1350,Akasa Air,1315    ,114,T2,,,,,
6E2351,IndiGo,1325    ,107,T2,,,,,
QP1146,Akasa Air,1345    ,114,T2,,,,,
6E2013,IndiGo,1390    ,128,T2,,,,,
6E2618,IndiGo,1395    ,107,T2,,,,,
6E2158,IndiGo,1400    ,128,T2,,,,,
6E2343,IndiGo,1502    ,107,T2,,,,,
