Flight_number,Airline,Type,Dep_time_min,N_passengers,Terminal,,,,
6.00E+11,IndiGo,D,620,107,T3,,,,
B2758,Belavia,D,620,107,T3,,,,
AI213,Air India,D,625,107,T3,,,,
KU384,Kuwait Airways,I,625,124,T3,,,,
AY122,Finnair,D,630,104,T3,,,,
SG11,SpiceJet,D,630,109,T3,,,,
6E1151,IndiGo,I,630,60,T3,,,,
SG41,SpiceJet,D,645,104,T3,,,,
AI239,Air India,D,650,107,T3,,,,
AI2355,Air India,D,655,107,T3,,,,
IX135,Air India Express,D,655,107,T3,,,,
6E1461,IndiGo,D,655,107,T3,,,,
WY242,Oman Air,I,655,62,T3,,,,
SQ401,Singapore Airlines,I,655,89,T3,,,,
6E1368,IndiGo,D,660,104,T3,,,,
EY213,Etihad Airways,I,660,73,T3,,,,
ET689,Ethiopian Airlines,I,660,173,T3,,,,
6E1081,IndiGo,I,660,73,T3,,,,
BA256,British Airways,I,665,91,T3,,,,
6E1726,IndiGo,D,670,107,T3,,,,
QR571,Qatar Airways,D,670,105,T3,,,,
AI917,Air India,D,675,107,T3,,,,
B3774,Bhutan Airlines,I,675,126,T3,,,,
AI2115,Air India,D,680,104,T3,,,,
AI2332,Air India,D,680,104,T3,,,,
EK511,Emirates,D,685,107,T3,,,,
AI217,Air India,D,690,128,T3,,,,
6E1153,IndiGo,D,690,107,T3,,,,
VS301,Virgin Atlantic,D,700,107,T3,,,,
TG324,Thai Airways International,I,700,144,T3,,,,
BA256,British Airways,I,705,162,T3,,,,
6E5927,IndiGo,D,720,107,T3,,,,
AI2907,Air India,I,720,69,T3,,,,
AI2483,Air India,D,730,107,T3,,,,
6E5308,IndiGo,D,735,107,T3,,,,
IX2511,Air India Express,D,740,104,T3,,,,
6E5064,IndiGo,I,740,169,T3,,,,
9I637,Alliance Air,I,740,89,T3,,,,
AI2899,Air India,D,750,104,T3,,,,
AI2993,Air India,D,750,104,T3,,,,
6E5298,IndiGo,D,750,40,T3,,,,
AI535,Air India,D,750,107,T3,,,,
IX1142,Air India Express,D,760,107,T3,,,,
AI2417,Air India,D,765,128,T3,,,,
AI2767,Air India,I,765,58,T3,,,,
6E5257,IndiGo,I,765,108,T3,,,,
6E5396,IndiGo,D,775,104,T3,,,,
6E5199,IndiGo,D,775,109,T3,,,,
AI2951,Air India,I,775,79,T3,,,,
AI2689,Air India,I,775,73,T3,,,,
AI2621,Air India,D,780,107,T3,,,,
IX1117,Air India Express,D,780,105,T3,,,,
AI2623,Air India,D,780,128,T3,,,,
AI407,Air India,D,780,128,T3,,,,
AI837,Air India,I,780,125,T3,,,,
AI2839,Air India,I,780,73,T3,,,,
AI2706,Air India,D,795,128,T3,,,,
SG8910,SpiceJet,D,795,107,T3,,,,
AI2925,Air India,D,800,107,T3,,,,
AI851,Air India,D,800,107,T3,,,,
AI2819,Air India,D,810,134,T3,,,,
AI2441,Air India,I,810,146,T3,,,,
AI2438,Air India,D,815,107,T3,,,,
AI2509,Air India,D,815,104,T3,,,,
AI2592,Air India,D,815,104,T3,,,,
IX1199,Air India Express,D,820,104,T3,,,,
AI461,Air India,I,820,91,T3,,,,
AI2465,Air India,I,820,89,T3,,,,
AI2420,Air India,D,825,105,T3,,,,
AI451,Air India,I,825,132,T3,,,,
AI2691,Air India,D,835,109,T3,,,,
AI2454,Air India,D,840,107,T3,,,,
AI2933,Air India,D,840,105,T3,,,,
AI2664,Air India,I,840,125,T3,,,,
AI2737,Air India,I,840,146,T3,,,,
AI537,Air India,I,840,73,T3,,,,
IX1128,Air India Express,I,840,125,T3,,,,
IX1014,Air India Express,D,850,107,T3,,,,
AI815,Air India,D,860,107,T3,,,,
AI2971,Air India,D,865,107,T3,,,,
6E5641,IndiGo,I,865,146,T3,,,,
AI2519,Air India,D,870,104,T3,,,,
AI503,Air India,D,870,107,T3,,,,
AI2941,Air India,I,870,73,T3,,,,
IX1153,Air India Express,I,870,73,T3,,,,
AI2817,Air India,I,870,79,T3,,,,
AI2521,Air India,D,875,109,T3,,,,
AI915,Air India,D,880,107,T3,,,,
AI2600,Air India,D,885,107,T3,,,,
IX1163,Air India Express,D,895,107,T3,,,,
9I809,Alliance Air,D,900,105,T3,,,,
AI441,Air India,I,900,87,T3,,,,
AI2537,Air India,D,920,107,T3,,,,
AI2403,Air India,D,920,105,T3,,,,
9I627,Alliance Air,D,930,105,T3,,,,
AI2879,Air India,D,930,107,T3,,,,
AI873,Air India,D,945,107,T3,,,,
IX1169,Air India Express,D,945,104,T3,,,,
IX1204,Air India Express,D,955,109,T3,,,,
AI2489,Air India,D,955,107,T3,,,,
AI2955,Air India,I,955,77,T3,,,,
AI2837,Air India,D,960,105,T3,,,,
6E5087,IndiGo,D,960,107,T3,,,,
AI2711,Air India,I,960,79,T3,,,,
MS974,EgyptAir,D,965,104,T3,,,,
AI155,Air India,D,970,104,T3,,,,
AI281,Air India,D,980,105,T3,,,,
KB201,Drukair,I,980,173,T3,,,,
6E1103,IndiGo,I,980,134,T3,,,,
AI376,Air India,D,990,107,T3,,,,
AI384,Air India,D,990,104,T3,,,,
AI143,Air India,D,990,107,T3,,,,
AI388,Air India,I,1000,73,T3,,,,
AI2015,Air India,D,1005,107,T3,,,,
AI2017,Air India,D,1010,199,T3,,,,
6E1155,IndiGo,D,1020,107,T3,,,,
AI2382,Air India,D,1020,109,T3,,,,
HY424,Uzbekistan Airways,D,1020,40,T3,,,,
AI137,Air India,I,1020,91,T3,,,,
AI2029,Air India,D,1025,139,T3,,,,
AI925,Air India,I,1025,73,T3,,,,
AI151,Air India,I,1025,169,T3,,,,
AI2304,Air India,D,1040,107,T3,,,,
AI429,Air India,D,1050,105,T3,,,,
AI2219,Air India,D,1050,40,T3,,,,
KC908,Air Astana,D,1055,107,T3,,,,
EY215,Etihad Airways,D,1060,83,T3,,,,
WY246,Oman Air,D,1060,109,T3,,,,
EK517,Emirates,D,1075,109,T3,,,,
RA218,Nepal Airlines,D,1075,107,T3,,,,
AI991,Air India,D,1075,107,T3,,,,
6E1345,IndiGo,D,1075,107,T3,,,,
AI237,Air India,D,1075,128,T3,,,,
AI915,Air India,D,1075,107,T3,,,,
AI2813,Air India,D,1080,107,T3,,,,
AI2797,Air India,D,1080,107,T3,,,,
AI855,Air India,I,1080,120,T3,,,,
AI2709,Air India,D,1090,107,T3,,,,
IX2763,Air India Express,D,1090,107,T3,,,,
6E5023,IndiGo,D,1090,109,T3,,,,
6E5344,IndiGo,D,1090,128,T3,,,,
AI809,Air India,D,1090,107,T3,,,,
6E5014,IndiGo,I,1090,73,T3,,,,
AI2681,Air India,D,1095,104,T3,,,,
AI2487,Air India,D,1095,128,T3,,,,
AI2713,Air India,D,1105,107,T3,,,,
6E5286,IndiGo,D,1105,104,T3,,,,
9I831,Alliance Air,D,1105,107,T3,,,,
AI2443,Air India,D,1110,128,T3,,,,
AI2825,Air India,I,1110,202,T3,,,,
AI811,Air India,D,1115,40,T3,,,,
AI2977,Air India,I,1115,82,T3,,,,
IX1171,Air India Express,D,1120,107,T3,,,,
IX1104,Air India Express,D,1120,104,T3,,,,
6E5138,IndiGo,I,1120,108,T3,,,,
AI505,Air India,I,1125,66,T3,,,,
AI2512,Air India,I,1125,92,T3,,,,
IX1187,Air India Express,I,1127,95,T3,,,,
AI2985,Air India,D,1135,104,T3,,,,
6E5041,IndiGo,D,1140,107,T3,,,,
AI2463,Air India,D,1140,109,T3,,,,
AI2835,Air India,D,1140,109,T3,,,,
AI531,Air India,D,1145,107,T3,,,,
AI2809,Air India,D,1155,104,T3,,,,
AI2805,Air India,D,1155,105,T3,,,,
IX1202,Air India Express,I,1160,73,T3,,,,
AI2637,Air India,D,1165,109,T3,,,,
AI895,Air India,D,1170,107,T3,,,,
AI2807,Air India,D,1170,128,T3,,,,
AI2561,Air India,D,1175,104,T3,,,,
AI2871,Air India,D,1175,107,T3,,,,
AI801,Air India,I,1175,91,T3,,,,
AI2549,Air India,D,1185,105,T3,,,,
AI2981,Air India,I,1185,88,T3,,,,
AI2400,Air India,D,1200,107,T3,,,,
IX1015,Air India Express,D,1200,105,T3,,,,
AI479,Air India,D,1210,109,T3,,,,
AI2433,Air India,D,1210,107,T3,,,,
AI2412,Air India,D,1220,107,T3,,,,
AI2964,Air India,I,1220,125,T3,,,,
AI2609,Air India,I,1226,202,T3,,,,
AI2929,Air India,D,1230,107,T3,,,,
AI411,Air India,D,1245,104,T3,,,,
AI2449,Air India,D,1245,104,T3,,,,
AI2727,Air India,I,1245,91,T3,,,,
AI2999,Air India,I,1245,125,T3,,,,
IX1195,Air India Express,D,1250,107,T3,,,,
AI2437,Air India,D,1260,107,T3,,,,
AI829,Air India,I,1260,91,T3,,,,
6E5269,IndiGo,I,1260,79,T3,,,,
AI2439,Air India,D,1270,105,T3,,,,
AI2961,Air India,D,1270,107,T3,,,,
NH838,ANA All Nippon Airways,I,1270,108,T3,,,,
AI211,Air India,I,1270,108,T3,,,,
SV761,Saudia,I,1275,181,T3,,,,
G9466,Air Arabia,D,1280,109,T3,,,,
6E1463,IndiGo,D,1285,105,T3,,,,
UL196,SriLankan Airlines,D,1290,107,T3,,,,
SG5,SpiceJet,D,1290,107,T3,,,,
JL30,JAL,D,1295,107,T3,,,,
AI2283,Air India,D,1295,107,T3,,,,
6E1807,IndiGo,I,1295,94,T3,,,,
IX163,Air India Express,D,1305,107,T3,,,,
AI358,Air India,D,1305,107,T3,,,,
SV759,Saudia,I,1315,89,T3,,,,
6E1231,IndiGo,I,1315,230,T3,,,,
AI995,Air India,D,1320,107,T3,,,,
6E1405,IndiGo,D,1320,104,T3,,,,
6E+063,IndiGo,D,1320,104,T3,,,,
EY217,Etihad Airways,I,1320,173,T3,,,,
IX127,Air India Express,I,1320,91,T3,,,,
AI2231,Air India,I,1325,79,T3,,,,
GF135,Gulf Air,I,1330,108,T3,,,,
AI2145,Air India,I,1330,89,T3,,,,
SQ403,Singapore Airlines,D,1335,109,T3,,,,
EK515,Emirates,D,1350,107,T3,,,,
6E+071,IndiGo,I,1360,180,T3,,,,
OD206,Batik Air Malaysia,D,1370,105,T3,,,,
6E+083,IndiGo,I,1370,147,T3,,,,
AI314,Air India,D,1380,128,T3,,,,
CX698,Cathay Pacific,D,1380,107,T3,,,,
AC43,Air Canada,I,1380,142,T3,,,,
MH191,Malaysia Airlines,I,1380,146,T3,,,,
AI2380,Air India,D,1410,107,T3,,,,
TG316,Thai Airways International,I,1410,170,T3,,,,
AA293,American Airlines,I,1410,139,T3,,,,
K6761,Air Cambodia,I,1410,90,T3,,,,
UA83,United Airlines,I,1415,126,T3,,,,
VN976,Vietnam Airlines,I,1415,149,T3,,,,
AI2702,Air India,I,1405,184,T3,,,,
AI2421,Air India,I,1405,146,T3,,,,
AI2577,Air India,I,1450,160,T3,,,,
AI2693,Air India,I,1455,125,T3,,,,
IX1861,Air India Express,I,1465,125,T3,,,,
AI2653,Air India,I,1465,115,T3,,,,
IX1011,Air India Express,I,1470,87,T3,,,,
IX1197,Air India Express,I,1470,137,T3,,,,
AI817,Air India,I,1495,105,T3,,,,
6E5119,IndiGo,I,1495,169,T3,,,,
AI2469,Air India,I,1500,73,T3,,,,
IX1164,Air India Express,I,1505,146,T3,,,,
6E5015,IndiGo,I,1505,273,T3,,,,
AI2688,Air India,I,1515,76,T3,,,,
AI2479,Air India,I,1515,89,T3,,,,
IX2801,Air India Express,I,1515,73,T3,,,,
